"model","quantity","n_replications","relative_bias_percent","MAPE_oracle_percent","RMSE_oracle","predictive_median_MAPE_realized_percent","predictive_coverage_95_percent","median_relative_predictive_width_percent"
"Baseline Bayesian","IBNR",50,11.0282039875372,13.1434983826251,176802.095266857,17.199354552096,100,116.901687559501
"Baseline Bayesian","IBNR count",50,-0.531921232642949,4.69404159520177,17.7144803003235,8.7978845024912,98,44.6686862363584
"Baseline Bayesian","RBNS",50,13.175974858893,13.997326584128,509819.740382697,15.7527047456139,98,90.1530023581207
"Baseline Bayesian","Total",50,12.5382660149494,13.2396625954632,662265.160016291,14.1848529280941,98,80.6712330008237
"Full Bayesian","IBNR",50,-1.29330690810988,7.34053841479419,108170.448513473,13.3319109353475,100,90.1410115845897
"Full Bayesian","IBNR count",50,-0.499104399094274,4.67592632695411,17.8041996896954,8.81193651134281,98,45.0595261004281
"Full Bayesian","RBNS",50,0.350470859955817,6.15661317318405,232325.877766426,9.45980326625233,96,57.2929794462907
"Full Bayesian","Total",50,-0.132615043998291,6.01841190674309,300338.504022452,8.46507458433274,100,55.9462669386282
