"model","n_replications","relative_bias_percent","MAPE_oracle_percent","RMSE_oracle","normalized_RMSE_percent","MAPE_realized_percent","predictive_coverage_95_percent","median_relative_predictive_width_percent","mean_elapsed_seconds","max_rhat","total_divergences"
"Baseline Bayesian",50,12.5382660149494,13.2396625954632,662265.160016291,15.5388240533796,15.8900638010806,98,80.6712330008237,293.87549882412,1.01353265620116,0
"Full Bayesian",50,-0.132615043998291,6.01841190674309,300338.504022452,7.04688612993824,8.35237876830958,100,55.9462669386282,1361.93907492161,1.01770200957389,0
"Paid Chain Ladder",50,-0.87395675437154,15.6070542080207,862168.118715547,20.2291763329731,17.3964772651366,NA,NA,NA,-Inf,0
