"model","n_replications","relative_bias_percent","MAPE_oracle_percent","RMSE_oracle","normalized_RMSE_percent","MAPE_realized_percent","predictive_coverage_95_percent","median_relative_predictive_width_percent","mean_elapsed_seconds","max_rhat","total_divergences"
"Baseline Bayesian",50,5.91073621839232,7.6477107717344,495740.363788857,9.76899382552462,10.3489789160639,100,70.0404861068975,365.774071536064,1.0148132945116,0
"Full Bayesian",50,-0.210089402004616,6.64806383208769,458142.986814479,9.02810490392965,8.2603973722655,100,52.1427596402778,4861.37102224827,1.02381981930788,0
"Paid Chain Ladder",50,-1.25650949441107,15.3792730483072,1148021.48419545,22.6227590284571,14.9466102870599,NA,NA,NA,-Inf,0
